feature
isofox_GPR183
isofox_MNDA
isofox_SLC31A2
isofox_RASAL3
isofox_CD7
isofox_LPXN
isofox_IKZF1
isofox_CD300A
isofox_LSP1
isofox_PARVG
isofox_CCL19
isofox_LY9
isofox_SERPINB9
isofox_ABI3
isofox_PTAFR
isofox_IFIT2
isofox_TLR7
isofox_IL2RA
isofox_CCR2
isofox_FMNL1
isofox_DOCK2
isofox_IL18BP
isofox_CCL2
isofox_CCDC141
isofox_SIRPB2
isofox_GBP5
isofox_JCHAIN
isofox_PSME2
isofox_C1QB
isofox_CD3G
isofox_ADCY7
isofox_LYN
isofox_PDCD1LG2
isofox_PARP12
isofox_PTPRC
isofox_CD8B
isofox_SLAMF1
isofox_CASP1
isofox_FCGR2B
isofox_DOK3
isofox_GZMK
isofox_LILRA6
isofox_HCLS1
isofox_GBP2
isofox_CCL3
isofox_SP100
isofox_CD84
isofox_CD6
isofox_FBXO6
isofox_CXCL13
isofox_CXCL11
isofox_ARHGAP9
isofox_GNGT2
isofox_PLEK
isofox_IL12RB1
isofox_ZAP70
isofox_TLR1
isofox_CD69
isofox_KLHL6
isofox_GIMAP1
isofox_GIMAP6
isofox_GZMA
isofox_SCIMP
isofox_FCRL6
isofox_DOK2
isofox_OASL
isofox_LAX1
isofox_CTLA4
isofox_PREX1
isofox_ADGRG5
isofox_IL32
isofox_LGALS9
isofox_PRF1
isofox_SYTL3
isofox_RNASE6
isofox_DTHD1
isofox_OR2I1P
isofox_IL16
isofox_CSF2RB
isofox_APOL3
isofox_ACAP1
isofox_NFAM1
isofox_SELPLG
isofox_SAMHD1
isofox_ITGB2
isofox_CD28
isofox_TBX21
isofox_BTK
isofox_AOAH
isofox_PYHIN1
isofox_DEF6
isofox_PVRIG
isofox_TNFAIP8L2
isofox_CD180
isofox_ADAMDEC1
isofox_GPR174
isofox_TAPBP
isofox_BTN3A2
isofox_SIGLEC7
isofox_LRRC25
isofox_GNLY
isofox_CR1
isofox_ARHGAP25
isofox_APOBEC3D
isofox_ITGB7
isofox_XCL2
isofox_PTGER4
isofox_DAPP1
isofox_CCRL2
isofox_GBP1
isofox_NKG7
isofox_HCST
isofox_SECTM1
isofox_MSR1
isofox_CST7
isofox_FGD2
isofox_ZC3H12D
isofox_TFEC
isofox_CCL4L2
isofox_IL2RG
isofox_IFIH1
isofox_NCF2
isofox_IL2RB
isofox_TLR8
isofox_CD226
isofox_STX11
isofox_BATF
isofox_MAP4K1
isofox_TLR4
isofox_HAPLN3
isofox_FAM78A
isofox_CSF1R
isofox_GCH1
isofox_CD52
isofox_DNAJC5B
isofox_PRKCB
isofox_EPSTI1
isofox_SLCO2B1
isofox_CD53
isofox_SPN
isofox_CD300LF
isofox_CCL8
isofox_SLC15A3
isofox_CLEC4E
isofox_CD80
isofox_LAG3
isofox_NMI
isofox_NLRC5
isofox_CD3D
isofox_TNFRSF9
isofox_PSTPIP2
isofox_CD4
isofox_PDCD1
isofox_IRF8
isofox_POU2AF1
isofox_VAV1
isofox_IGFLR1
isofox_CD72
isofox_PPP1R16B
isofox_ANKRD22
isofox_SUCNR1
isofox_LAP3
isofox_CLEC12A
isofox_CD79A
isofox_PIK3AP1
isofox_JAK2
isofox_CD27
isofox_CXCL9
isofox_SPIB
isofox_LCP1
isofox_JAKMIP1
isofox_TAP2
isofox_SH2D1A
isofox_WDFY4
isofox_PSMB8
isofox_DOCK8
isofox_CXCR3
isofox_BTN3A3
isofox_SEMA4D
isofox_PTPN7
isofox_SNX20
isofox_IDO1
isofox_KLRD1
isofox_SLA
isofox_C1QA
isofox_GPR65
isofox_IPCEF1
isofox_NCF4
isofox_UBE2L6
isofox_TNFRSF1B
isofox_MYO1G
isofox_CORO1A
isofox_ERAP1
isofox_CYTIP
isofox_TAGAP
isofox_APBB1IP
isofox_GMFG
isofox_GRAP2
isofox_AKNA
isofox_ZNF831
isofox_TRIM22
isofox_VSIG4
isofox_LCK
isofox_CLIC2
isofox_IL21R
isofox_P2RY8
isofox_GBP3
isofox_CLEC2D
isofox_GFI1
isofox_CD33
isofox_ITGA4
isofox_CD40
isofox_B2M
isofox_JAML
isofox_PTPN22
isofox_IFI27
isofox_PRDM1
isofox_SP140
isofox_TLR2
isofox_ZNF683
isofox_PIM2
isofox_CD163
isofox_IGSF6
isofox_RTP4
isofox_LTB
isofox_JAK3
isofox_FLT3LG
isofox_ST8SIA4
isofox_FCGR1B
isofox_IL10
isofox_ENTPD1
isofox_KCNA3
isofox_GZMM
isofox_IL15RA
isofox_CD68
isofox_LAIR1
isofox_THEMIS
isofox_CD247
isofox_PSMB9
isofox_SAMD9L
isofox_TAP1
isofox_IFITM1
isofox_TMEM150B
isofox_TNF
isofox_CEACAM21
isofox_DDX60
isofox_BATF2
isofox_PARP14
isofox_TRAF3IP3
isofox_ETV7
isofox_ARHGAP30
isofox_FCN1
isofox_AIM2
isofox_IKZF3
isofox_HAVCR2
isofox_PIK3R6
isofox_SLAMF7
isofox_C16orf54
isofox_WIPF1
isofox_MZB1
isofox_P2RY10
isofox_CCL4
isofox_GPSM3
isofox_GIMAP2
isofox_CRTAM
isofox_PCED1B
isofox_PILRA
isofox_UBD
isofox_IL10RA
isofox_TTC24
isofox_STK17B
isofox_GPR84
isofox_LILRB2
isofox_EVI2B
isofox_TESPA1
isofox_TNFSF13B
isofox_SLFN12L
isofox_TYMP
isofox_IRF9
isofox_SLC8A1
isofox_CTSW
isofox_OAS2
isofox_MEI1
isofox_APOBEC3G
isofox_MAFB
isofox_TRAT1
isofox_CERKL
isofox_CD74
isofox_GAB3
isofox_P2RY6
isofox_IRF1
isofox_IGLL5
isofox_CD38
isofox_FCMR
isofox_CYBB
isofox_CD48
isofox_FCRL5
isofox_CXCL10
isofox_MPEG1
isofox_AIF1
isofox_CCDC69
isofox_KLRK1
isofox_CMKLR1
isofox_SLAMF6
isofox_MS4A1
isofox_PTPRCAP
isofox_LY86
isofox_ARHGDIB
isofox_PSTPIP1
isofox_CD96
isofox_SIGLEC9
isofox_LILRB1
isofox_TNIP3
isofox_BIN2
isofox_ITGAL
isofox_BTLA
isofox_C1QC
isofox_CTSC
isofox_TIGIT
isofox_EOMES
isofox_CTSS
isofox_ARHGAP15
isofox_CYTH4
isofox_RASSF5
isofox_CD5
isofox_GZMH
isofox_SIGLEC1
isofox_VCAM1
isofox_HCK
isofox_BIRC3
isofox_UBASH3A
isofox_GIMAP8
isofox_CCR5
isofox_EBI3
isofox_KLRC4
isofox_STAT4
isofox_SELL
isofox_CARD16
isofox_LAT2
isofox_PRKCQ
isofox_MS4A6A
isofox_VNN2
isofox_IL15
isofox_FLI1
isofox_PATL2
isofox_LST1
isofox_CALHM6
isofox_WAS
isofox_CD2
isofox_APOL6
isofox_PLA2G2D
isofox_DTX3L
isofox_GPR18
isofox_CLEC10A
isofox_GBP4
isofox_RAC2
isofox_MS4A4A
isofox_MCOLN2
isofox_C1orf162
isofox_CD86
isofox_PARP15
isofox_CLEC7A
isofox_C2
isofox_SASH3
isofox_FASLG
isofox_SPI1
isofox_SRGN
isofox_FGL2
isofox_LGALS2
isofox_IL7R
isofox_NR1H3
isofox_SIRPG
isofox_SLA2
isofox_ADAP2
isofox_GIMAP7
isofox_LCP2
isofox_SAMSN1
isofox_LILRB4
isofox_IL4I1
isofox_RAB37
isofox_EVI2A
isofox_INPP5D
isofox_STAT1
isofox_FCRL3
isofox_GIMAP5
isofox_PSMB10
isofox_PIK3CG
isofox_CD3E
isofox_TNFSF8
isofox_NCF1
isofox_C3AR1
isofox_ZBP1
isofox_CD8A
isofox_FOXP3
isofox_ERAP2
isofox_SIT1
isofox_ITK
isofox_SLC7A7
isofox_HVCN1
isofox_RHOH
isofox_ADA2
isofox_TMC8
isofox_NLRC3
isofox_RASGRP1
isofox_GZMB
isofox_FCGR1A
isofox_CD209
isofox_CCR1
isofox_APOBEC3H
isofox_CD14
isofox_RASSF4
isofox_FCGR3A
isofox_GIMAP4
isofox_SP110
isofox_RCSD1
isofox_FPR3
isofox_GPR141
isofox_PARP9
isofox_BTN3A1
isofox_CCL5
isofox_IFI44L
isofox_CD274
isofox_UBA7
isofox_FYB1
isofox_TRIM69
isofox_FCER1G
isofox_SLC9A9
isofox_CD37
isofox_IFI30
isofox_FERMT3
isofox_CXCR6
isofox_NCKAP1L
isofox_TYROBP
isofox_SIGLEC10
isofox_LAPTM5
isofox_KLRG1
isofox_DRAM1
isofox_CIITA
isofox_SLAMF8
isofox_SAMD3
isofox_VAMP5
isofox_TBC1D10C
isofox_LYZ
isofox_IFI35
isofox_IFIT3
