ID_meta_hmfSampleId;aneuploidy_score
HMF002147A;10
HMF002151A;13
HMF002179A;27
HMF002181A;22
HMF002195A;21
HMF002196A;22
HMF002197A;15
HMF002199A;7
HMF002201A;7
HMF002225A;12
HMF002233A;24
HMF002241B;26
HMF002244A;21
HMF002252A;16
HMF002258A;8
HMF002265A;14
HMF002267A;8
HMF002268A;27
HMF002270A;23
HMF002272A;11
HMF002280A;20
HMF002285A;23
HMF002290A;18
HMF002307A;24
HMF002311A;7
HMF002312A;6
HMF002324A;15
HMF002325A;6
HMF002327A;25
HMF002329A;14
HMF002342A;26
HMF002350B;22
HMF002355A;11
HMF002358A;8
HMF002359A;23
HMF002360A;6
HMF002363A;12
HMF002364A;23
HMF002368A;4
HMF002386A;31
HMF002391A;4
HMF002392A;22
HMF002397A;17
HMF002412A;23
HMF002414A;25
HMF002424A;16
HMF002428B;13
HMF002432A;24
HMF002435A;17
HMF002442A;17
HMF002448A;6
HMF002454A;18
HMF002457A;22
HMF002461A;19
HMF002463A;20
HMF002464B;7
HMF002470A;25
HMF002473A;14
HMF002481A;11
HMF002484A;25
HMF002491A;17
HMF002493A;25
HMF002494A;15
HMF002495A;7
HMF002501A;26
HMF002521A;13
HMF002524A;12
HMF002526A;5
HMF002529A;11
HMF002535A;5
HMF002539A;26
HMF002540A;8
HMF002542A;23
HMF002554A;24
HMF002559A;25
HMF002560A;9
HMF002562A;14
HMF002568A;25
HMF002569A;26
HMF002573A;6
HMF002578A;21
HMF002579A;19
HMF002583A;2
HMF002589A;25
HMF002596A;22
HMF002599A;23
HMF002600A;27
HMF002608A;21
HMF002611A;13
HMF002615A;17
HMF002625A;14
HMF002638A;24
HMF002642A;6
HMF002652A;21
HMF002655A;16
HMF002657A;26
HMF002676A;26
HMF002680A;11
HMF002692A;22
HMF002701A;25
HMF002721A;23
HMF002725A;30
HMF002735A;19
HMF002743A;18
HMF002744A;7
HMF002747A;23
HMF002756A;9
HMF002759A;15
HMF002761B;14
HMF002764A;21
HMF002765B;23
HMF002775A;27
HMF002796A;28
HMF002801A;9
HMF002809A;22
HMF002813A;23
HMF002822A;9
HMF002824B;25
HMF002831A;22
HMF002841A;24
HMF002846A;12
HMF002852B;27
HMF002862A;28
HMF002873A;14
HMF002878A;20
HMF002887A;22
HMF002896A;9
HMF002900A;7
HMF002904A;10
HMF002915A;23
HMF002917A;16
HMF002932A;18
HMF002935A;22
HMF002951A;22
HMF002952A;24
HMF002960A;12
HMF002965A;21
HMF002980D;31
HMF002985A;24
HMF002988A;22
HMF002995A;21
HMF003003A;12
HMF003008A;11
HMF003025A;26
HMF003034A;13
HMF003037A;24
HMF003049A;3
HMF003055A;17
HMF003062A;24
HMF003064A;12
HMF003071A;12
HMF003072A;20
HMF003077A;21
HMF003090A;14
HMF003092A;9
HMF003096A;25
HMF003099A;6
HMF003102A;10
HMF003104A;7
HMF003105A;5
HMF003113A;30
HMF003134B;21
HMF003154A;21
HMF003168A;24
HMF003174A;18
HMF003181A;15
HMF003202A;19
HMF003206A;9
HMF003213A;27
HMF003220A;15
HMF003227A;28
HMF003231A;13
HMF003236A;27
HMF003238A;27
HMF003241A;22
HMF003252A;24
HMF003264A;11
HMF003283A;6
HMF003287A;10
HMF003291A;20
HMF003296A;20
HMF003303A;7
HMF003306A;3
HMF003314A;19
HMF003315A;25
HMF003318A;22
HMF003319A;24
HMF003325A;17
HMF003331A;30
HMF003337A;25
HMF003338B;20
HMF003362A;15
HMF003363A;5
HMF003368A;22
HMF003370A;20
HMF003374A;16
HMF003376A;21
HMF003382A;11
HMF003389A;24
HMF003391A;15
HMF003392A;16
HMF003399A;10
HMF003401A;22
HMF003414A;25
HMF003417A;4
